,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[1388],-0.006,0.015,-0.037,0.022,0.0,0.0,3743.0,1842.0,1.0
beta[1389],0.0,0.013,-0.025,0.027,0.0,0.0,3781.0,1825.0,1.0
beta[1390],0.004,0.014,-0.021,0.033,0.0,0.0,3393.0,2024.0,1.0
beta[1391],0.002,0.013,-0.022,0.03,0.0,0.0,4039.0,2028.0,1.0
beta[1392],0.004,0.013,-0.021,0.028,0.0,0.0,4045.0,2130.0,1.01
beta[1393],0.013,0.016,-0.013,0.046,0.0,0.0,3024.0,1655.0,1.0
beta[1394],0.002,0.012,-0.019,0.028,0.0,0.0,3737.0,2482.0,1.0
beta[1395],0.003,0.012,-0.021,0.029,0.0,0.0,4458.0,2429.0,1.0
beta[1396],-0.001,0.013,-0.026,0.026,0.0,0.0,3876.0,2285.0,1.0
beta[1397],0.004,0.013,-0.021,0.031,0.0,0.0,3248.0,2243.0,1.0
beta[1398],-0.002,0.013,-0.028,0.022,0.0,0.0,4124.0,1908.0,1.0
beta[1399],-0.005,0.013,-0.034,0.018,0.0,0.0,4740.0,2134.0,1.0
beta[1400],-0.006,0.014,-0.036,0.018,0.0,0.0,3363.0,1759.0,1.0
beta[1401],-0.0,0.013,-0.024,0.026,0.0,0.0,3584.0,1959.0,1.0
beta[1402],-0.005,0.013,-0.032,0.02,0.0,0.0,3234.0,2090.0,1.01
beta[1403],-0.006,0.015,-0.036,0.019,0.0,0.0,2637.0,1452.0,1.0
beta[1404],-0.004,0.014,-0.031,0.022,0.0,0.0,4345.0,2291.0,1.0
beta[1405],-0.01,0.015,-0.04,0.017,0.0,0.0,3592.0,2134.0,1.0
beta[1406],0.014,0.016,-0.013,0.046,0.0,0.0,3216.0,2024.0,1.0
beta[1407],-0.001,0.013,-0.029,0.022,0.0,0.0,4695.0,2383.0,1.0
beta[1408],-0.009,0.016,-0.043,0.018,0.0,0.0,2748.0,1340.0,1.0
beta[1409],-0.001,0.014,-0.028,0.025,0.0,0.0,4119.0,2219.0,1.0
beta[1410],-0.008,0.015,-0.04,0.016,0.0,0.0,3305.0,1986.0,1.0
beta[1411],-0.004,0.013,-0.029,0.021,0.0,0.0,3610.0,1817.0,1.0
beta[1412],0.004,0.013,-0.019,0.031,0.0,0.0,4011.0,1929.0,1.01
beta[1413],-0.009,0.014,-0.04,0.015,0.0,0.0,3441.0,2032.0,1.0
beta[1414],-0.002,0.013,-0.029,0.022,0.0,0.0,3449.0,2253.0,1.0
beta[1415],0.008,0.014,-0.015,0.038,0.0,0.0,3329.0,2426.0,1.0
beta[1416],0.004,0.013,-0.02,0.03,0.0,0.0,3371.0,1876.0,1.0
beta[1417],-0.003,0.013,-0.029,0.022,0.0,0.0,3390.0,2178.0,1.0
beta[1418],0.003,0.013,-0.02,0.031,0.0,0.0,3660.0,2074.0,1.0
beta[1419],-0.004,0.013,-0.029,0.023,0.0,0.0,3722.0,1840.0,1.0
beta[1420],0.002,0.014,-0.027,0.029,0.0,0.0,3656.0,1747.0,1.0
beta[1421],0.001,0.013,-0.024,0.025,0.0,0.0,3788.0,1920.0,1.0
beta[1422],0.004,0.014,-0.022,0.03,0.0,0.0,3851.0,1928.0,1.0
beta[1423],-0.009,0.015,-0.04,0.016,0.0,0.0,3681.0,1786.0,1.0
beta[1424],-0.005,0.013,-0.03,0.02,0.0,0.0,3325.0,2222.0,1.0
beta[1425],-0.004,0.012,-0.031,0.017,0.0,0.0,4070.0,2362.0,1.0
beta[1426],0.004,0.012,-0.021,0.028,0.0,0.0,3003.0,2325.0,1.0
beta[1427],-0.035,0.024,-0.08,0.003,0.0,0.0,2683.0,2941.0,1.0
