,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[164],0.006,0.015,-0.023,0.035,0.0,0.0,5725.0,2706.0,1.0
beta[165],-0.007,0.015,-0.034,0.021,0.0,0.0,5441.0,3161.0,1.0
beta[166],0.015,0.015,-0.013,0.041,0.0,0.0,5159.0,2770.0,1.0
beta[167],0.006,0.014,-0.019,0.034,0.0,0.0,6866.0,2915.0,1.0
beta[168],-0.004,0.015,-0.032,0.022,0.0,0.0,6056.0,2666.0,1.0
beta[169],0.008,0.015,-0.019,0.036,0.0,0.0,5677.0,3095.0,1.0
beta[170],0.007,0.015,-0.02,0.034,0.0,0.0,5459.0,3186.0,1.0
beta[171],0.008,0.015,-0.02,0.035,0.0,0.0,5193.0,2890.0,1.0
beta[172],-0.007,0.014,-0.035,0.019,0.0,0.0,5943.0,3110.0,1.0
beta[173],0.001,0.015,-0.025,0.03,0.0,0.0,5841.0,3175.0,1.0
beta[174],-0.006,0.015,-0.034,0.022,0.0,0.0,5593.0,3278.0,1.0
beta[175],-0.005,0.015,-0.034,0.024,0.0,0.0,5541.0,3221.0,1.0
beta[176],0.003,0.014,-0.024,0.031,0.0,0.0,5438.0,2968.0,1.0
beta[177],0.007,0.015,-0.022,0.035,0.0,0.0,6737.0,2918.0,1.0
beta[178],0.01,0.015,-0.018,0.037,0.0,0.0,6119.0,2647.0,1.0
beta[179],-0.003,0.015,-0.032,0.023,0.0,0.0,5639.0,3247.0,1.0
beta[180],0.0,0.015,-0.029,0.026,0.0,0.0,7191.0,3085.0,1.0
beta[181],0.0,0.015,-0.027,0.028,0.0,0.0,5915.0,2955.0,1.0
beta[182],0.002,0.015,-0.027,0.029,0.0,0.0,5582.0,2727.0,1.0
beta[183],0.007,0.016,-0.021,0.038,0.0,0.0,7280.0,2877.0,1.0
beta[184],0.003,0.015,-0.026,0.03,0.0,0.0,5615.0,2913.0,1.0
beta[185],0.002,0.015,-0.025,0.03,0.0,0.0,5370.0,2888.0,1.0
beta[186],-0.001,0.015,-0.029,0.026,0.0,0.0,5494.0,2764.0,1.0
beta[187],0.006,0.015,-0.022,0.033,0.0,0.0,5982.0,3116.0,1.0
beta[188],-0.002,0.015,-0.031,0.024,0.0,0.0,5054.0,3167.0,1.0
beta[189],-0.006,0.015,-0.034,0.021,0.0,0.0,5961.0,2809.0,1.0
beta[190],0.001,0.015,-0.028,0.028,0.0,0.0,4565.0,3105.0,1.0
beta[191],-0.005,0.015,-0.034,0.022,0.0,0.0,6584.0,2992.0,1.0
beta[192],0.005,0.015,-0.022,0.033,0.0,0.0,6453.0,2958.0,1.0
beta[193],0.005,0.015,-0.025,0.032,0.0,0.0,5087.0,2590.0,1.0
beta[194],0.005,0.015,-0.02,0.034,0.0,0.0,5734.0,3061.0,1.0
beta[195],0.004,0.014,-0.022,0.032,0.0,0.0,5292.0,2495.0,1.0
beta[196],0.002,0.015,-0.026,0.029,0.0,0.0,5719.0,2675.0,1.0
beta[197],-0.002,0.015,-0.031,0.025,0.0,0.0,5902.0,2955.0,1.0
beta[198],0.003,0.015,-0.026,0.031,0.0,0.0,5626.0,2904.0,1.0
beta[199],0.005,0.015,-0.021,0.035,0.0,0.0,5871.0,2939.0,1.0
beta[200],0.002,0.015,-0.025,0.031,0.0,0.0,5631.0,2774.0,1.0
beta[201],-0.007,0.015,-0.032,0.023,0.0,0.0,6433.0,3176.0,1.0
beta[202],-0.003,0.015,-0.034,0.023,0.0,0.0,7206.0,3023.0,1.0
beta[203],0.006,0.014,-0.02,0.033,0.0,0.0,5159.0,3096.0,1.0
beta[204],0.002,0.014,-0.025,0.028,0.0,0.0,6341.0,2946.0,1.0
beta[205],-0.006,0.015,-0.035,0.022,0.0,0.0,6433.0,2903.0,1.0
beta[206],0.004,0.015,-0.025,0.033,0.0,0.0,5413.0,2981.0,1.0
beta[207],0.004,0.014,-0.021,0.031,0.0,0.0,5685.0,2939.0,1.0
